mpg;cilindraje;desplazamiento;caballosP;peso;aceleracion;anio;origen;MODELO;precio
14.0;8;304;150;3672;11.5;73;American;amc matador;18629.95
32.4;4;108;75;2350;16.8;81;Japanese;toyota corolla;18320.14
23.8;4;151;85;2855;17.6;78;American;oldsmobile starfire sx;14274.36
44.3;4;90;48;2085;21.7;80;European;vw rabbit c (diesel);17471.89
24.5;4;151;88;2740;16.0;77;American;pontiac sunbird coupe;18479.47
26.4;4;140;88;2870;18.1;80;American;ford fairmont;18519.66
18.0;6;232;100;2789;15.0;73;American;amc gremlin;17776.84
16.0;6;250;100;3278;18.0;73;American;chevrolet nova custom;17614.72
41.5;4;98;76;2144;14.7;80;European;vw rabbit;14559.81
18.0;6;250;88;3021;16.5;73;American;ford maverick;15441.61
19.2;6;231;105;3535;19.2;78;American;pontiac phoenix lj;13060.94
18.0;8;307;130;3504;12.0;70;American;chevrolet chevelle malibu;20999.89
25.0;4;113;95;2228;14.0;71;Japanese;toyota corona;19052.9
24.0;4;113;95;2372;15.0;70;Japanese;toyota corona mark ii;16956.53
31.3;4;120;75;2542;17.5;80;Japanese;mazda 626;14670.97
31.8;4;85;65;2020;19.2;79;Japanese;datsun 210;18123.55
28.0;4;112;88;2605;19.6;82;American;chevrolet cavalier;17529.87
13.0;8;350;150;4699;14.5;74;American;buick century luxus (sw);15491.33
27.0;4;151;90;2950;17.3;82;American;chevrolet camaro;16678.84
35.7;4;98;80;1915;14.4;79;American;dodge colt hatchback custom;20652.07
20.0;6;156;122;2807;13.5;73;Japanese;toyota mark ii;18942.23
37.7;4;89;62;2050;17.3;81;Japanese;toyota tercel;21999.31
23.0;4;115;95;2694;15.0;75;European;audi 100ls;21076.64
25.4;5;183;77;3530;20.1;79;European;mercedes benz 300d;19196.02
32.0;4;83;61;2003;19.0;74;Japanese;datsun 710;16983.32
